# Onda Corporation
# Hydrophone Calibration Data
# 
Calibration_DATE	18-Mar-2024
# 
# Hydrophone description
HYD_MFG	Onda
HYD_MODEL	HNR
HYD_APERTURE_NOM_UM	0500
HYD_SN	2380
HYD_POLARITY	Positive
# 
# External preamplifier description
AMP_MFG	NONE
AMP_MODEL	NONE
AMP_SN	NONE
AMP_GAIN_NOM_DB	NONE
AMP_BW_MHZ	NONE
AMP_OUTPUT_IMP_NOM_OHMS	NONE
# 
# Cable/adaptor between hydrophone and preamplifier
CA_BWT_HYD_AMP	NONE 
# 
# Environment
ELECTRICAL_LOAD	OpenCircuit
WATER_TEMP_DEGC	23.5
WATER_RESISTIVITY_MOHMS-CM	3.0
#
# Calibration data
# Freq(MHz) Sens(dB re. 1V/uPa) Sens(V/Pa) Sens(V^2cm^2/W) Cap(pF)
#
DATA_FIELDS	5
DATA_FIELD	FREQ_MHz
DATA_FIELD	SENS_DB
DATA_FIELD	SENS_VPERPA
DATA_FIELD	SENS_V2CM2PERW
DATA_FIELD	CAP_PF
# End of file header
HEADER_END	0
 3.850	 -252.58	  2.348E-007	8.273E-004	    196.434
 3.900	 -252.51	  2.368E-007	8.410E-004	    196.495
 3.950	 -252.47	  2.381E-007	8.501E-004	    196.558
 4.000	 -252.43	  2.391E-007	8.578E-004	    196.624
 4.050	 -252.51	  2.369E-007	8.421E-004	    196.692
 4.100	 -252.49	  2.373E-007	8.449E-004	    196.763
 4.150	 -252.46	  2.383E-007	8.519E-004	    196.836
 4.200	 -252.58	  2.348E-007	8.272E-004	    196.912
 4.250	 -252.73	  2.311E-007	8.009E-004	    196.990
 4.300	 -252.89	  2.266E-007	7.702E-004	    197.070
 4.350	 -252.79	  2.293E-007	7.888E-004	    197.153
 4.400	 -252.72	  2.311E-007	8.015E-004	    197.237
 4.450	 -252.73	  2.311E-007	8.008E-004	    197.324
 4.500	 -252.55	  2.358E-007	8.340E-004	    197.414
 4.550	 -252.49	  2.373E-007	8.447E-004	    197.505
 4.600	 -252.47	  2.378E-007	8.484E-004	    197.599
 4.650	 -252.41	  2.396E-007	8.610E-004	    197.694
 4.700	 -252.44	  2.389E-007	8.560E-004	    197.792
 4.750	 -252.57	  2.351E-007	8.292E-004	    197.892
 4.800	 -252.59	  2.347E-007	8.263E-004	    197.994
 4.850	 -252.55	  2.358E-007	8.340E-004	    198.098
 4.900	 -252.49	  2.373E-007	8.449E-004	    198.204
 4.950	 -252.49	  2.373E-007	8.447E-004	    198.312
 5.000	 -252.51	  2.368E-007	8.411E-004	    198.422
 5.050	 -252.36	  2.409E-007	8.708E-004	    198.534
 5.100	 -252.32	  2.421E-007	8.795E-004	    198.647
 5.150	 -252.28	  2.431E-007	8.864E-004	    198.763
 5.200	 -252.24	  2.443E-007	8.951E-004	    198.881
 5.250	 -252.27	  2.436E-007	8.902E-004	    199.000
 5.300	 -252.19	  2.457E-007	9.052E-004	    199.121
 5.350	 -252.11	  2.481E-007	9.234E-004	    199.244
 5.400	 -252.13	  2.476E-007	9.194E-004	    199.369
 5.450	 -252.08	  2.487E-007	9.281E-004	    199.496
 5.500	 -252.04	  2.499E-007	9.370E-004	    199.624
 5.550	 -252.04	  2.500E-007	9.375E-004	    199.754
 5.600	 -252.00	  2.511E-007	9.461E-004	    199.886
 5.650	 -252.04	  2.501E-007	9.379E-004	    200.019
 5.700	 -252.01	  2.509E-007	9.443E-004	    200.154
 5.750	 -251.93	  2.531E-007	9.610E-004	    200.291
 5.800	 -251.92	  2.535E-007	9.637E-004	    200.429
 5.850	 -251.90	  2.541E-007	9.685E-004	    200.569
 5.900	 -251.93	  2.533E-007	9.621E-004	    200.711
 5.950	 -251.87	  2.549E-007	9.747E-004	    200.854
 6.000	 -251.88	  2.547E-007	9.729E-004	    200.999
 6.050	 -251.94	  2.530E-007	9.598E-004	    201.145
 6.100	 -251.92	  2.535E-007	9.638E-004	    201.293
 6.150	 -251.82	  2.564E-007	9.865E-004	    201.443
 6.200	 -251.80	  2.572E-007	9.921E-004	    201.594
 6.250	 -251.74	  2.588E-007	1.005E-003	    201.746
 6.300	 -251.64	  2.618E-007	1.028E-003	    201.900
 6.350	 -251.66	  2.611E-007	1.022E-003	    202.056
 6.400	 -251.73	  2.592E-007	1.008E-003	    202.213
 6.450	 -251.74	  2.589E-007	1.006E-003	    202.371
 6.500	 -251.73	  2.592E-007	1.008E-003	    202.531
 6.550	 -251.65	  2.616E-007	1.026E-003	    202.692
 6.600	 -251.60	  2.629E-007	1.037E-003	    202.855
 6.650	 -251.65	  2.616E-007	1.026E-003	    203.019
 6.700	 -251.67	  2.609E-007	1.021E-003	    203.185
 6.750	 -251.64	  2.619E-007	1.029E-003	    203.352
 6.800	 -251.58	  2.638E-007	1.044E-003	    203.520
 6.850	 -251.51	  2.659E-007	1.060E-003	    203.690
 6.900	 -251.53	  2.652E-007	1.055E-003	    203.861
 6.950	 -251.56	  2.642E-007	1.047E-003	    204.034
 7.000	 -251.54	  2.648E-007	1.052E-003	    204.208
 7.050	 -251.51	  2.658E-007	1.059E-003	    204.383
 7.100	 -251.50	  2.659E-007	1.061E-003	    204.560
 7.150	 -251.52	  2.656E-007	1.058E-003	    204.738
 7.200	 -251.47	  2.669E-007	1.069E-003	    204.917
 7.250	 -251.44	  2.680E-007	1.078E-003	    205.098
 7.300	 -251.50	  2.662E-007	1.063E-003	    205.280
 7.350	 -251.49	  2.663E-007	1.064E-003	    205.464
 7.400	 -251.46	  2.674E-007	1.073E-003	    205.649
 7.450	 -251.44	  2.680E-007	1.078E-003	    205.835
 7.500	 -251.43	  2.681E-007	1.078E-003	    206.022
 7.550	 -251.43	  2.682E-007	1.079E-003	    206.211
 7.600	 -251.44	  2.679E-007	1.077E-003	    206.401
 7.650	 -251.42	  2.686E-007	1.082E-003	    206.593
 7.700	 -251.33	  2.715E-007	1.106E-003	    206.786
 7.750	 -251.28	  2.728E-007	1.116E-003	    206.980
 7.800	 -251.36	  2.703E-007	1.096E-003	    207.175
 7.850	 -251.47	  2.670E-007	1.070E-003	    207.372
 7.900	 -251.46	  2.672E-007	1.071E-003	    207.570
 7.950	 -251.45	  2.677E-007	1.075E-003	    207.770
 8.000	 -251.41	  2.689E-007	1.085E-003	    207.971
 8.050	 -251.30	  2.723E-007	1.112E-003	    208.173
 8.100	 -251.25	  2.740E-007	1.126E-003	    208.377
 8.150	 -251.27	  2.733E-007	1.121E-003	    208.582
 8.200	 -251.24	  2.741E-007	1.127E-003	    208.788
 8.250	 -251.25	  2.737E-007	1.124E-003	    208.996
 8.300	 -251.25	  2.739E-007	1.126E-003	    209.205
 8.350	 -251.10	  2.787E-007	1.165E-003	    209.415
 8.400	 -251.01	  2.814E-007	1.188E-003	    209.627
 8.450	 -251.06	  2.799E-007	1.175E-003	    209.840
 8.500	 -251.15	  2.769E-007	1.150E-003	    210.055
 8.550	 -251.19	  2.758E-007	1.141E-003	    210.271
 8.600	 -251.10	  2.786E-007	1.164E-003	    210.488
 8.650	 -251.01	  2.815E-007	1.189E-003	    210.707
 8.700	 -251.03	  2.809E-007	1.184E-003	    210.927
 8.750	 -251.12	  2.780E-007	1.159E-003	    211.149
 8.800	 -251.17	  2.762E-007	1.145E-003	    211.372
 8.850	 -251.18	  2.759E-007	1.142E-003	    211.596
 8.900	 -251.09	  2.789E-007	1.167E-003	    211.823
 8.950	 -251.01	  2.816E-007	1.189E-003	    212.050
 9.000	 -251.02	  2.811E-007	1.185E-003	    212.279
 9.050	 -251.01	  2.814E-007	1.188E-003	    212.510
 9.100	 -251.06	  2.798E-007	1.174E-003	    212.742
 9.150	 -251.08	  2.792E-007	1.169E-003	    212.975
 9.200	 -251.02	  2.811E-007	1.185E-003	    213.210
 9.250	 -250.98	  2.824E-007	1.196E-003	    213.447
 9.300	 -250.97	  2.829E-007	1.201E-003	    213.685
 9.350	 -251.02	  2.813E-007	1.187E-003	    213.925
 9.400	 -251.01	  2.815E-007	1.189E-003	    214.166
 9.450	 -251.02	  2.813E-007	1.187E-003	    214.409
 9.500	 -250.98	  2.825E-007	1.197E-003	    214.654
 9.550	 -251.00	  2.817E-007	1.190E-003	    214.900
 9.600	 -250.97	  2.828E-007	1.200E-003	    215.148
 9.650	 -250.92	  2.845E-007	1.214E-003	    215.398
 9.700	 -250.95	  2.833E-007	1.204E-003	    215.649
 9.750	 -251.06	  2.800E-007	1.176E-003	    215.902
 9.800	 -251.08	  2.793E-007	1.170E-003	    216.157
 9.850	 -251.01	  2.815E-007	1.189E-003	    216.413
 9.900	 -250.98	  2.824E-007	1.196E-003	    216.671
 9.950	 -251.00	  2.820E-007	1.193E-003	    216.931
10.000	 -251.01	  2.815E-007	1.189E-003	    217.193
10.050	 -251.02	  2.812E-007	1.186E-003	    217.457
10.100	 -250.98	  2.825E-007	1.197E-003	    217.722
10.150	 -250.94	  2.839E-007	1.209E-003	    217.989
10.200	 -251.00	  2.819E-007	1.192E-003	    218.259
